survey_id,site_name,site_country,latitude,longitude,region,date_start,date_end,transect,start_at,start_time,end_time,depth_start_ft,depth_end_ft,heading,visibility,species,amount,min_cm,max_cm,size_category,sex_age,observer
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,1,06/04/2023,12:05 pm,12:07 pm,55.0,55.0,200,4.2,,,,,,,,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023, 9:57 am,10:00 am,55.0,55.0,200,"",Copper Rockfish,2,25.0,25.0,,,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023, 9:57 am,10:00 am,55.0,55.0,200,"",Copper Rockfish,1,15.0,15.0,,,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023, 9:57 am,10:00 am,55.0,55.0,200,"",Copper Rockfish,1,30.0,30.0,,,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023, 9:57 am,10:00 am,55.0,55.0,200,"",Copper Rockfish,1,23.0,23.0,,,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,3,06/04/2023,12:18 pm,12:22 pm,39.0,36.0,20,4.2,Striped Perch,1,20.0,20.0,,,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,4,06/04/2023,10:05 am,10:10 am,40.0,42.0,200,"",Brown Rockfish,1,38.0,38.0,,,Michelle Halpin
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,12:03 pm,12:08 pm,30.0,27.0,200,5,Copper Rockfish,1,26.0,26.0,,,Michelle Halpin
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,12:03 pm,12:08 pm,30.0,27.0,200,5,Copper Rockfish,5,33.0,33.0,,,Michelle Halpin
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,12:03 pm,12:08 pm,30.0,27.0,200,5,Copper Rockfish,1,24.0,24.0,,,Michelle Halpin
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,12:03 pm,12:08 pm,30.0,27.0,200,5,Copper Rockfish,9,32.0,32.0,,,Michelle Halpin
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,12:03 pm,12:08 pm,30.0,27.0,200,5,Copper Rockfish,1,16.0,16.0,,,Michelle Halpin
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,12:03 pm,12:08 pm,30.0,27.0,200,5,Copper Rockfish,4,26.0,26.0,,,Michelle Halpin
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,12:03 pm,12:08 pm,30.0,27.0,200,5,Pile Perch,3,12.0,12.0,,,Michelle Halpin
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,12:03 pm,12:08 pm,30.0,27.0,200,5,Striped Perch,18,18.0,18.0,,,Michelle Halpin
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,5,06/04/2023,12:03 pm,12:08 pm,30.0,27.0,200,5,Brown Rockfish,1,16.0,16.0,,,Michelle Halpin
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,10:28 am,10:33 am,21.0,22.0,20,"",Striped Perch,1,16.0,16.0,,,Michelle Halpin
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,10:28 am,10:33 am,21.0,22.0,20,"",Copper Rockfish,1,22.0,22.0,,,Michelle Halpin
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,10:28 am,10:33 am,21.0,22.0,20,"",Copper Rockfish,1,28.0,28.0,,,Michelle Halpin
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,10:28 am,10:33 am,21.0,22.0,20,"",Brown Rockfish,1,32.0,32.0,,,Michelle Halpin
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,10:28 am,10:33 am,21.0,22.0,20,"",Striped Perch,8,6.0,6.0,,,Michelle Halpin
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,6,06/04/2023,10:28 am,10:33 am,21.0,22.0,20,"",Pile Perch,1,12.0,12.0,,,Michelle Halpin
