survey_id,site_name,site_country,latitude,longitude,region,date_start,date_end,transect,start_at,start_time,end_time,species,amount,size,distance,observer
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,1,06/04/2023,12:08 pm,12:13 pm,Mottled Star,2,,30.0,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,1,06/04/2023,12:08 pm,12:13 pm,Rock Crab,1,,30.0,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023,10:00 am,10:20 am,California Sea Cucumber,4,,30.0,Carol Walter
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023,10:00 am,10:20 am,Orange Cucumber,27,,30.0,Carol Walter
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023,10:00 am,10:20 am,Mottled Star,4,,30.0,Carol Walter
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023,10:00 am,10:20 am,Blood Star,2,,30.0,Carol Walter
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,2,06/04/2023,10:00 am,10:20 am,Plumose Anemone,29,,30.0,Carol Walter
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,3,06/04/2023,12:27 pm,12:39 pm,California Sea Cucumber,7,,30.0,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,3,06/04/2023,12:27 pm,12:39 pm,Orange Cucumber,9,,30.0,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,3,06/04/2023,12:27 pm,12:39 pm,Mottled Star,5,,30.0,Doug Siegel
0055f33a-9c05-408f-8a70-1ff68d526180,Goby Gardens,United States of America,47.631907,-122.94162,California,06/04/2023,06/04/2023,3,06/04/2023,12:27 pm,12:39 pm,Blood Star,2,,30.0,Doug Siegel
