survey_id,site_name,site_country,latitude,longitude,region,date_start,date_end,transect,species,amount,size,observer
036d683b-1c95-4794-9bec-e18c08af01dc,McCurdy Point,United States of America,48.138791,-122.844791,California,07/06/2025,08/01/2025,1,,,,"Erica Bleke, Samuel Bishop, Shawn Augustine"
0699e69b-39bd-4bd1-beef-af37443cad1b,Owen Beach,United States of America,47.31752,-122.53389,California,06/11/2024,06/26/2024,1,,,,""
0699e69b-39bd-4bd1-beef-af37443cad1b,Owen Beach,United States of America,47.31752,-122.53389,California,06/11/2024,06/26/2024,2,,,,""
0699e69b-39bd-4bd1-beef-af37443cad1b,Owen Beach,United States of America,47.31752,-122.53389,California,06/11/2024,06/26/2024,3,,,,""
0699e69b-39bd-4bd1-beef-af37443cad1b,Owen Beach,United States of America,47.31752,-122.53389,California,06/11/2024,06/26/2024,4,,,,""
0699e69b-39bd-4bd1-beef-af37443cad1b,Owen Beach,United States of America,47.31752,-122.53389,California,06/11/2024,06/26/2024,5,,,,""
0699e69b-39bd-4bd1-beef-af37443cad1b,Owen Beach,United States of America,47.31752,-122.53389,California,06/11/2024,06/26/2024,6,,,,""
069c9059-c446-4004-81c1-f65e32266924,Lincoln Park,United States of America,47.536153,-122.397348,California,05/31/2025,05/31/2025,1,,,,""
099dcac6-b372-48f7-a45e-6ba794daf477,Edmonds Shell Creek,United States of America,47.819549,-122.37838,California,07/12/2025,07/12/2025,1,,,,""
0a4b7918-dd81-43ca-8a91-dfe1fedee1b3,Fox Island East Wall,United States of America,47.228194,-122.589757,California,08/11/2024,08/11/2024,1,,,,""
0a4b7918-dd81-43ca-8a91-dfe1fedee1b3,Fox Island East Wall,United States of America,47.228194,-122.589757,California,08/11/2024,08/11/2024,2,,,,""
0a4b7918-dd81-43ca-8a91-dfe1fedee1b3,Fox Island East Wall,United States of America,47.228194,-122.589757,California,08/11/2024,08/11/2024,3,,,,""
0a4b7918-dd81-43ca-8a91-dfe1fedee1b3,Fox Island East Wall,United States of America,47.228194,-122.589757,California,08/11/2024,08/11/2024,4,,,,""
0a4b7918-dd81-43ca-8a91-dfe1fedee1b3,Fox Island East Wall,United States of America,47.228194,-122.589757,California,08/11/2024,08/11/2024,5,,,,""
0a4b7918-dd81-43ca-8a91-dfe1fedee1b3,Fox Island East Wall,United States of America,47.228194,-122.589757,California,08/11/2024,08/11/2024,6,,,,""
0d4c4fd8-ed98-43ad-9bd2-347a54f2f831,North Beach,United States of America,48.144779,-122.778533,California,07/06/2022,07/07/2022,1,,,,""
