survey_id,site_name,site_country,latitude,longitude,region,date_start,date_end,transect,start_at,start_time,end_time,species,amount,test_diameter,diseased_qty,observer
216093c5-ef15-43d2-b9e4-6b310b8d44e6,Tongue Point,United States of America,48.256822,-124.275318,California,08/02/2024,08/02/2024,0,08/02/2024, 1:42 pm, 1:53 pm,Purple Urchin,6,2,0,""
216093c5-ef15-43d2-b9e4-6b310b8d44e6,Tongue Point,United States of America,48.256822,-124.275318,California,08/02/2024,08/02/2024,0,08/02/2024, 1:42 pm, 1:53 pm,Purple Urchin,5,3,0,""
216093c5-ef15-43d2-b9e4-6b310b8d44e6,Tongue Point,United States of America,48.256822,-124.275318,California,08/02/2024,08/02/2024,0,08/02/2024, 1:42 pm, 1:53 pm,Purple Urchin,5,4,0,""
216093c5-ef15-43d2-b9e4-6b310b8d44e6,Tongue Point,United States of America,48.256822,-124.275318,California,08/02/2024,08/02/2024,0,08/02/2024, 1:42 pm, 1:53 pm,Purple Urchin,14,5,0,""
216093c5-ef15-43d2-b9e4-6b310b8d44e6,Tongue Point,United States of America,48.256822,-124.275318,California,08/02/2024,08/02/2024,0,08/02/2024, 1:42 pm, 1:53 pm,Purple Urchin,21,6,0,""
216093c5-ef15-43d2-b9e4-6b310b8d44e6,Tongue Point,United States of America,48.256822,-124.275318,California,08/02/2024,08/02/2024,0,08/02/2024, 1:42 pm, 1:53 pm,Purple Urchin,33,7,0,""
216093c5-ef15-43d2-b9e4-6b310b8d44e6,Tongue Point,United States of America,48.256822,-124.275318,California,08/02/2024,08/02/2024,0,08/02/2024, 1:42 pm, 1:53 pm,Purple Urchin,16,8,0,""
216093c5-ef15-43d2-b9e4-6b310b8d44e6,Tongue Point,United States of America,48.256822,-124.275318,California,08/02/2024,08/02/2024,0,08/02/2024, 1:42 pm, 1:53 pm,Purple Urchin,3,9,0,""
216093c5-ef15-43d2-b9e4-6b310b8d44e6,Tongue Point,United States of America,48.256822,-124.275318,California,08/02/2024,08/02/2024,0,08/02/2024, 1:42 pm, 1:53 pm,Purple Urchin,1,10,0,""
216093c5-ef15-43d2-b9e4-6b310b8d44e6,Tongue Point,United States of America,48.256822,-124.275318,California,08/02/2024,08/02/2024,0,08/02/2024, 1:42 pm, 1:53 pm,Red Urchin,23,2,0,""
216093c5-ef15-43d2-b9e4-6b310b8d44e6,Tongue Point,United States of America,48.256822,-124.275318,California,08/02/2024,08/02/2024,0,08/02/2024, 1:42 pm, 1:53 pm,Red Urchin,35,3,0,""
216093c5-ef15-43d2-b9e4-6b310b8d44e6,Tongue Point,United States of America,48.256822,-124.275318,California,08/02/2024,08/02/2024,0,08/02/2024, 1:42 pm, 1:53 pm,Red Urchin,28,4,0,""
216093c5-ef15-43d2-b9e4-6b310b8d44e6,Tongue Point,United States of America,48.256822,-124.275318,California,08/02/2024,08/02/2024,0,08/02/2024, 1:42 pm, 1:53 pm,Red Urchin,15,5,0,""
216093c5-ef15-43d2-b9e4-6b310b8d44e6,Tongue Point,United States of America,48.256822,-124.275318,California,08/02/2024,08/02/2024,0,08/02/2024, 1:42 pm, 1:53 pm,Red Urchin,2,6,0,""
216093c5-ef15-43d2-b9e4-6b310b8d44e6,Tongue Point,United States of America,48.256822,-124.275318,California,08/02/2024,08/02/2024,0,08/02/2024, 1:42 pm, 1:53 pm,Red Urchin,1,7,0,""
216093c5-ef15-43d2-b9e4-6b310b8d44e6,Tongue Point,United States of America,48.256822,-124.275318,California,08/02/2024,08/02/2024,0,08/02/2024, 1:42 pm, 1:53 pm,Red Urchin,1,8,0,""
216093c5-ef15-43d2-b9e4-6b310b8d44e6,Tongue Point,United States of America,48.256822,-124.275318,California,08/02/2024,08/02/2024,0,08/02/2024, 1:42 pm, 1:53 pm,Green/Pallid Urchin,22,4,0,""
